	O	ARG1	V	ARG2	ARG0	ARG4	ARGM-DIS	ARGM-TMP	R-ARGM-TMP	ARGM-MOD	ARGM-ADV	ARGM-LOC	ARG3	R-ARG0	ARGM-NEG	ARGM-ADJ	ARGM-GOL	ARGM-PRP	ARGM-PRR	ARGM-LVB	R-ARG1	ARGM-PRD	ARGM-MNR	C-ARG1	ARGM-CAU	ARGM-EXT	R-ARGM-MNR	R-ARGM-LOC	C-V	ARGM-COM	ARGM-CXN	C-ARGM-CXN	R-ARGM-ADJ	ARGM-DIR	C-ARG3	ARG5	R-ARG2	R-ARGM-ADV	R-ARGM-DIR	C-ARG0	C-ARG2	ARG1-DSP	C-ARG1-DSP	C-ARGM-LOC	ARGA
O	88181	287	0	152	156	1	16	37	0	46	52	15	1	6	19	1	0	6	2	0	3	1	5	1	6	3	0	1	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ARG1	1202	1830	0	60	88	2	1	9	0	0	8	5	2	2	1	4	0	3	7	0	3	0	7	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
V	4	0	4798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARG2	486	133	0	462	6	3	0	3	0	0	6	11	6	0	0	2	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ARG0	587	87	0	6	1043	0	0	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARG4	14	3	0	4	0	32	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARGM-DIS	51	0	0	1	0	0	111	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-TMP	185	18	0	12	1	2	0	300	0	0	9	3	3	0	0	5	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
R-ARGM-TMP	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-MOD	127	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-ADV	218	23	0	16	4	1	9	12	0	0	193	4	0	0	0	1	0	1	0	1	0	0	3	0	3	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-LOC	78	25	0	18	1	1	0	0	0	0	3	78	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARG3	18	16	0	11	1	0	0	1	0	0	0	1	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R-ARG0	25	0	0	0	1	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-NEG	62	0	0	0	0	0	0	0	0	0	1	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-ADJ	98	7	0	2	2	0	0	1	0	0	1	0	0	0	0	114	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
